Service Name,Route_name,Route_link,Bus_names,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availablity
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40077,Super Luxury (Non AC Seater 2+2 Push Back),01:35,05h 15m,06:50,4.4,440.0,28
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 1353,Rajdhani (AC Semi Sleeper 2+2),02:20,06h 20m,08:40,2.6,533.0,28
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 1463,RAJDHANI (A.C. Semi Sleeper),02:20,05h 00m,07:20,3.6,533.0,29
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 12862,eGARUDA,02:25,06h 05m,08:30,3.5,533.0,25
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40231,Super Luxury (Non AC Seater 2+2 Push Back),03:20,05h 30m,08:50,4.3,440.0,27
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 30062,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),03:40,06h 10m,09:50,3.9,533.0,35
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40010,Super Luxury (Non AC Seater 2+2 Push Back),03:50,06h 20m,10:10,3.9,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40210,Super Luxury (Non AC Seater 2+2 Push Back),03:50,06h 40m,10:30,4.1,440.0,26
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 1421,RAJDHANI (A.C. Semi Sleeper),04:10,05h 00m,09:10,1.6,533.0,35
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 1425,Rajdhani (AC Semi Sleeper 2+2),04:25,06h 05m,10:30,3.3,533.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40662,Super Luxury (Non AC Seater 2+2 Push Back),04:30,06h 40m,11:10,2.4,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 1467,RAJDHANI (A.C. Semi Sleeper),04:30,05h 00m,09:30,3.0,533.0,34
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 1524,RAJADHANI AC (CONVERTED METRO LUXURY),05:10,05h 00m,10:10,1.5,533.0,35
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40431,Super Luxury (Non AC Seater 2+2 Push Back),05:20,05h 30m,10:50,2.7,440.0,25
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40610,Super Luxury (Non AC Seater 2+2 Push Back),05:50,06h 40m,12:30,3.1,440.0,23
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40862,Super Luxury (Non AC Seater 2+2 Push Back),06:10,06h 40m,12:50,1.6,440.0,26
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 1504,Rajdhani (AC Semi Sleeper 2+2),06:10,06h 20m,12:30,1.8,533.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40030,Super Luxury (Non AC Seater 2+2 Push Back),06:20,05h 30m,11:50,4.9,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40631,Super Luxury (Non AC Seater 2+2 Push Back),06:40,05h 30m,12:10,3.5,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40810,Super Luxury (Non AC Seater 2+2 Push Back),06:50,06h 40m,13:30,2.8,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41062,Super Luxury (Non AC Seater 2+2 Push Back),07:10,06h 40m,13:50,4.4,440.0,20
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 40831,Super Luxury (Non AC Seater 2+2 Push Back),07:40,05h 30m,13:10,3.7,440.0,30
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41010,Super Luxury (Non AC Seater 2+2 Push Back),07:50,06h 40m,14:30,3.0,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41262,Super Luxury (Non AC Seater 2+2 Push Back),08:10,06h 40m,14:50,2.7,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 14462,eGARUDA,08:40,06h 20m,15:00,3.7,533.0,28
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41031,Super Luxury (Non AC Seater 2+2 Push Back),08:40,05h 30m,14:10,3.6,440.0,30
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41210,Super Luxury (Non AC Seater 2+2 Push Back),08:50,06h 40m,15:30,4.2,440.0,30
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41462,Super Luxury (Non AC Seater 2+2 Push Back),09:10,06h 40m,15:50,3.4,440.0,27
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 4771,Rajdhani (AC Semi Sleeper 2+2),09:25,06h 05m,15:30,2.7,533.0,35
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41231,Super Luxury (Non AC Seater 2+2 Push Back),09:40,05h 30m,15:10,3.1,440.0,31
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 41662,Super Luxury (Non AC Seater 2+2 Push Back),09:50,06h 40m,16:30,4.5,440.0,30
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 14662,eGARUDA,09:55,06h 05m,16:00,2.7,533.0,33
APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TGSRTC - 7662,Super Luxury (Non AC Seater 2+2 Push Back),10:10,06h 40m,16:50,2.7,440.0,33
