Service Name,Route_name,Route_link,Bus_names,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availablity
GSRTC,Ahmedabad to Ganganagar (Sri Ganganagar),https://www.redbus.in/bus-tickets/ahmedabad-to-ganganagar,Royal Karnavati Travels,A/C Seater / Sleeper (2+1),15:15,19h 15m,10:30,3.4,1199.0,41
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,23:00,08h 00m,07:00,1.7,500.0,21
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Rytham Tours And Travels,NON A/C Sleeper (2+1),23:35,07h 00m,06:35,1.8,700.0,36
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Royal Karnavati (TNB Travels),A/C Seater / Sleeper (2+1),23:30,08h 15m,07:45,4.7,699.0,38
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Milan Travels,A/C Seater / Sleeper (2+1),23:43,07h 17m,07:00,3.9,760.0,17
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Parshwanath Travel Pvt. Ltd,Bharat Benz A/C Sleeper (2+1),23:55,07h 35m,07:30,3.8,904.0,15
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Royal Karnavati Travels,A/C Seater / Sleeper (2+1),21:00,07h 35m,04:35,4.7,599.0,29
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Salasar vaishnav travels,A/C Seater / Sleeper (2+1),23:56,07h 50m,07:46,2.2,800.0,46
GSRTC,Sirohi (Rajasthan) to Bikaner,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,RMB Travel Agency,NON A/C Seater/ Sleeper (2+1),22:15,07h 45m,06:00,2.2,500.0,30
GSRTC,Ahmedabad to Bikaner,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,RSRTC - 191942,Express Non AC Seater 2+3,17:30,17h 30m,11:00,3.6,733.0,42
GSRTC,Ahmedabad to Bikaner,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Milan Travels,A/C Seater / Sleeper (2+1),19:00,12h 00m,07:00,4.3,760.0,34
GSRTC,Ahmedabad to Bikaner,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Parshwanath Travel Pvt. Ltd,Bharat Benz A/C Sleeper (2+1),19:00,12h 30m,07:30,4.3,904.0,16
GSRTC,Ahmedabad to Bikaner,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Royal Karnavati (TNB Travels),A/C Seater / Sleeper (2+1),19:15,12h 30m,07:45,4.0,762.0,30
GSRTC,Ahmedabad to Bikaner,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,17:00,14h 00m,07:00,3.9,550.0,22
