Service Name,Route_name,Route_link,Bus_names,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availablity
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 174171,NON A/C Seater (2+2),06:00,05h 00m,11:00,3.4,275.0,24
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 176212,A/C Seater (2+1),08:00,05h 00m,13:00,4.3,500.0,9
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 171242,A/C Seater (2+1),10:30,05h 00m,15:30,4.1,500.0,4
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 170868,NON A/C Seater (2+2),11:00,05h 00m,16:00,3.6,275.0,22
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 177682,NON A/C Seater (2+2),12:00,05h 30m,17:30,3.8,275.0,26
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 170869,NON A/C Seater (2+2),12:30,05h 00m,17:30,3.6,275.0,21
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 171241,A/C Seater (2+1),13:30,05h 00m,18:30,4.3,500.0,8
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 170874,NON A/C Seater (2+2),15:00,05h 00m,20:00,3.3,275.0,26
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),06:40,03h 55m,10:35,3.8,240.0,14
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),08:00,03h 55m,11:55,3.3,238.0,27
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),05:00,03h 55m,08:55,1.5,240.0,27
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),07:00,03h 55m,10:55,2.8,240.0,15
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),07:20,03h 55m,11:15,2.8,240.0,31
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),10:00,04h 00m,14:00,2.5,240.0,28
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),10:40,04h 00m,14:40,1.9,240.0,28
sikim,Siliguri to Gangtok,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),14:10,04h 05m,18:15,2.3,240.0,28
sikim,Gangtok to Siliguri,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 170700,NON A/C Seater (2+2),06:00,05h 30m,11:30,3.7,275.0,23
sikim,Gangtok to Siliguri,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 174074,Non AC Seater (2+2),07:00,05h 00m,12:00,3.5,275.0,21
sikim,Gangtok to Siliguri,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 171246,A/C Seater (2+1),08:00,05h 05m,13:05,4.3,500.0,4
sikim,Gangtok to Siliguri,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 170852,NON A/C Seater (2+2),09:00,05h 00m,14:00,3.7,275.0,23
sikim,Gangtok to Siliguri,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 170859,Non AC Seater (2+3),10:00,07h 30m,17:30,3.5,275.0,26
sikim,Gangtok to Siliguri,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 174026,A/C Seater Classic (2+2),10:30,05h 10m,15:40,4.5,500.0,8
